iter	Passed	Remaining
419	557	770
420	558	768
421	559	766
422	560	764
423	561	762
424	562	760
425	563	758
426	564	756
427	565	755
428	565	753
429	566	751
430	567	749
431	568	747
432	569	745
433	570	743
434	571	741
435	571	739
436	572	737
437	573	736
438	574	734
439	575	732
440	576	730
441	577	728
442	578	727
443	579	725
444	580	723
445	581	722
446	582	720
447	583	718
448	584	717
449	585	715
450	586	713
451	587	712
452	588	710
453	589	709
454	590	707
455	591	705
456	592	703
457	593	702
458	594	700
459	595	698
460	596	697
461	597	695
462	598	694
463	599	692
464	600	690
465	601	688
466	602	687
467	603	685
468	604	684
469	605	682
470	606	680
471	606	678
472	607	677
473	609	675
474	609	674
475	610	672
476	611	670
477	612	669
478	613	667
479	614	666
480	615	664
481	616	662
482	617	661
483	618	659
484	619	657
485	620	656
486	621	654
487	622	653
488	623	651
489	624	649
490	625	648
491	626	646
492	627	645
493	628	643
494	629	642
495	630	640
496	631	638
497	632	637
498	632	635
499	634	634
500	635	632
501	636	631
502	637	629
503	638	627
504	638	626
505	640	624
506	641	623
507	642	621
508	642	620
509	643	618
510	644	617
511	646	615
512	647	614
513	648	612
514	649	611
515	650	609
516	651	608
517	652	606
518	653	605
519	654	603
520	655	602
521	655	600
522	656	599
523	657	597
524	658	596
525	659	594
526	660	593
527	661	591
528	662	589
529	663	588
530	664	586
531	665	585
532	666	583
533	667	582
534	668	580
535	669	579
536	669	577
537	671	576
538	672	574
539	673	573
540	673	571
541	674	570
542	675	568
543	676	567
544	677	565
545	678	564
546	679	562
547	680	561
548	681	559
549	682	558
550	683	556
551	684	555
552	685	553
553	685	552
554	686	550
555	687	549
556	688	547
557	689	546
558	690	544
559	691	543
560	691	541
561	692	539
562	693	538
563	694	536
564	695	535
565	696	533
566	697	532
567	698	530
568	698	529
569	699	527
570	700	526
571	701	525
572	702	523
573	703	522
574	704	520
575	705	519
576	706	517
577	707	516
578	708	515
579	709	513
580	710	512
581	710	510
582	711	509
583	712	507
584	713	506
585	714	504
586	715	503
587	716	501
588	717	500
589	718	499
590	718	497
591	719	496
592	720	494
593	721	493
594	722	491
595	723	490
596	724	489
597	725	487
598	726	486
599	727	484
600	728	483
601	729	481
602	729	480
603	730	479
604	731	477
605	732	476
606	733	475
607	734	473
608	735	472
609	736	470
610	737	469
611	738	468
612	739	466
613	740	465
614	741	464
615	742	462
616	743	461
617	744	459
618	744	458
619	745	457
620	747	455
621	747	454
622	748	453
623	749	451
624	751	450
625	752	449
626	752	447
627	753	446
628	754	445
629	755	443
630	756	442
631	757	441
632	758	439
633	759	438
634	760	437
635	761	435
636	762	434
637	763	433
638	764	431
639	765	430
640	766	429
641	767	427
642	767	426
643	768	424
644	769	423
645	770	422
646	771	420
647	772	419
648	773	418
649	774	416
650	775	415
651	775	414
652	776	412
653	777	411
654	778	410
655	779	408
656	780	407
657	781	406
658	782	404
659	783	403
660	783	402
661	784	400
662	785	399
663	786	398
664	787	396
665	788	395
666	789	394
667	790	392
668	791	391
669	792	390
670	792	388
671	793	387
672	794	386
673	795	384
674	796	383
675	797	382
676	798	381
677	799	379
678	800	378
679	801	377
680	802	376
681	803	374
682	804	373
683	805	372
684	806	370
685	807	369
686	808	368
687	809	367
688	810	365
689	811	364
690	812	363
691	812	361
692	813	360
693	814	359
694	815	357
695	816	356
696	817	355
697	818	354
698	819	352
699	820	351
700	821	350
701	822	349
702	823	347
703	824	346
704	825	345
705	825	343
706	826	342
707	827	341
708	828	340
709	829	338
710	830	337
711	831	336
712	832	335
713	833	333
714	834	332
715	835	331
716	836	330
717	837	328
718	838	327
719	839	326
720	839	325
721	840	323
722	841	322
723	842	321
724	843	320
725	844	318
726	845	317
727	846	316
728	847	314
729	848	313
730	848	312
731	849	311
732	850	309
733	851	308
734	852	307
735	853	306
736	854	304
737	855	303
738	856	302
739	857	301
740	858	299
741	859	298
742	860	297
743	861	296
744	862	295
745	863	293
746	864	292
747	865	291
748	866	290
749	866	288
750	867	287
751	868	286
752	869	285
753	870	284
754	871	282
755	872	281
756	873	280
757	874	279
758	875	278
759	876	276
760	877	275
761	878	274
762	879	273
763	880	271
764	881	270
765	881	269
766	882	268
767	883	266
768	884	265
769	885	264
770	886	263
771	887	262
772	888	260
773	889	259
774	890	258
775	891	257
776	892	256
777	893	254
778	894	253
779	894	252
780	895	251
781	896	249
782	897	248
783	898	247
784	899	246
785	900	245
786	901	243
787	902	242
788	903	241
789	904	240
790	905	239
791	906	238
792	907	236
793	908	235
794	909	234
795	910	233
796	910	232
797	912	230
798	912	229
799	913	228
800	914	227
801	915	226
802	916	224
803	917	223
804	918	222
805	919	221
806	920	220
807	921	218
808	922	217
809	923	216
810	924	215
811	925	214
812	926	213
813	927	211
814	928	210
815	929	209
816	930	208
817	930	207
818	931	205
819	932	204
820	933	203
821	934	202
822	934	201
823	935	199
824	936	198
825	937	197
826	938	196
827	938	195
828	939	193
829	940	192
830	941	191
831	942	190
832	943	189
833	943	187
834	944	186
835	945	185
836	946	184
837	947	183
838	947	181
839	948	180
840	949	179
841	950	178
842	951	177
843	952	175
844	952	174
845	953	173
846	954	172
847	955	171
848	956	170
849	957	168
850	957	167
851	958	166
852	959	165
853	960	164
854	961	163
855	962	161
856	963	160
857	964	159
858	964	158
859	965	157
860	966	156
861	967	154
862	968	153
863	968	152
864	969	151
865	970	150
866	971	149
867	972	147
868	973	146
869	973	145
870	974	144
871	975	143
872	976	142
873	977	140
874	978	139
875	978	138
876	979	137
877	980	136
878	981	135
879	982	133
880	983	132
881	984	131
882	984	130
883	985	129
884	986	128
885	987	127
886	988	125
887	989	124
888	990	123
889	991	122
890	992	121
891	993	120
892	994	119
893	995	118
894	996	116
895	997	115
896	997	114
897	998	113
898	999	112
899	1000	111
900	1001	110
901	1002	108
902	1003	107
903	1004	106
904	1004	105
905	1005	104
906	1006	103
907	1007	102
908	1008	100
909	1009	99
910	1010	98
911	1011	97
912	1012	96
913	1013	95
914	1014	94
915	1014	93
916	1015	91
917	1016	90
918	1017	89
919	1018	88
920	1019	87
921	1020	86
922	1021	85
923	1021	84
924	1022	82
925	1023	81
926	1024	80
927	1025	79
928	1026	78
929	1027	77
930	1028	76
931	1028	75
932	1029	73
933	1030	72
934	1031	71
935	1032	70
936	1033	69
937	1034	68
938	1034	67
939	1035	66
940	1036	64
941	1037	63
942	1038	62
943	1039	61
944	1040	60
945	1041	59
946	1041	58
947	1042	57
948	1043	56
949	1044	54
950	1045	53
951	1046	52
952	1046	51
953	1047	50
954	1048	49
955	1049	48
956	1050	47
957	1051	46
958	1052	44
959	1052	43
960	1053	42
961	1054	41
962	1055	40
963	1056	39
964	1057	38
965	1058	37
966	1059	36
967	1059	35
968	1060	33
969	1061	32
970	1062	31
971	1063	30
972	1064	29
973	1065	28
974	1066	27
975	1066	26
976	1067	25
977	1068	24
978	1069	22
979	1070	21
980	1071	20
981	1072	19
982	1072	18
983	1073	17
984	1074	16
985	1075	15
986	1076	14
987	1077	13
988	1078	11
989	1079	10
990	1079	9
991	1080	8
992	1081	7
993	1082	6
994	1083	5
995	1084	4
996	1085	3
997	1086	2
998	1086	1
999	1087	0
